,author,title,year,Categories Y-Yes; N-No; TBC-to be confirmed with full-text reading,Reason,Data encoding status,Note,
106,"Castellano, S and Cadeddu, G",Does quality affect growth rate and age at maturity in species with indeterminate growth?,2011,N,Not trans-generational,,,
107,"Zhang, H and Rebke, M and Becker, PH and Bouwhuis, S","Fitness prospects: effects of age, sex and recruitment age on reproductive value in a long-lived seabird",2015,N,Not trans-generational,,,
108,"Berube, CH and Festa-Bianchet, M and Jorgenson, JT","Individual differences, longevity, and reproductive senescence in bighorn ewes",1999,N,Not bird,,,
109,"Pardo, D and Barbraud, C and Authier, M and Weimerskirch, H",Evidence for an age-dependent influence of environmental variations on a long-lived seabird's life-history traits,2013,N,Not trans-generational,,,
110,"Rodrigues, AMM","Demography, life history and the evolution of age-dependent social behaviour",2018,N,Not trans-generational,,,
111,"Crowley, PH","Sexual dimorphism with female demographic dominance: Age, size, and sex ratio at maturation",2000,N,Not trans-generational,,,
112,"Robert, A and Chantepie, S and Pavard, S and Sarrazin, F and Teplitsky, C",Actuarial senescence can increase the risk of extinction of mammal populations,2015,N,Not bird,,,
113,"Zajitschek, F and Bonduriansky, R and Zajitschek, SRK and Brooks, RC","Sexual Dimorphism in Life History: Age, Survival, and Reproduction in Male and Female Field Crickets Teleogryllus commodus under Seminatural Conditions",2009,N,Not bird,,,
114,"Koochmeshgi, J and Hosseini-Mazinani, SM and Seifati, SM and Hosein-Pur-Nobari, N and Teimoori-Toolabi, L",Apolipoprotein E genotype and age at menopause,2004,N,Not trans-generational,,,
115,"Moller, AP",Senescence in relation to latitude and migration in birds,2007,N,Not trans-generational,,,
116,"Mameri, D and Sousa-Santos, C and Robalo, JI and Magalhaes, MF",Growth and age structure in captive and wild stocks of the endangered western ruivaco Achondrostoma occidentale (Cyprinidae),2018,N,Not bird,,,
117,"King, SJ and Arrigo-Nelson, SJ and Pochron, ST and Semprebon, GM and Godfrey, LR and Wright, PC and Jernvall, J",Dental senescence in a long-lived primate links infant survival to rainfall,2005,N,Not bird,,,
118,"Sparks, AM and Spurgin, LG and van der Velde, M and Fairfield, EA and Komdeur, J and Burke, T and Richardson, DS and Dugdale, HL",Telomere heritability and parental age at conception effects in a wild avian population,NA,TBC - Y,,Y,,
119,"ROACH, DA",EVOLUTIONARY SENESCENCE IN PLANTS,1993,N,Not bird,,,
